pertanyaan,jawaban,kategori
"harga salad buah?","Harga Salad Buah: Rp.85.000","harga_makanan_pembuka"
"harga salad ayam?","Harga Salad Ayam: Rp.65.000","harga_makanan_pembuka"

"sup ada menu apa saja?","Menu Sup yang tersedia yaitu: Sup Asparagus Jagung Kepiting, Sup Asparagus Jagung Ayam, Sup Jagung Kepiting, Sup Jagung Ayam, Sup Asam Pedas / Sze Cuan, Sup Tahu Aneka Seafood, Sup Bibir Ikan, Sup Tahu dan Sapi Cincang, Sup Tom Yam.","menu"
"harga Sup Asparagus Jagung Kepiting?","Harga Sup Asparagus Jagung Kepiting: Rp.85.000, 1/2 porsi: Rp.50.000","harga_sup"
"harga Sup Asparagus Jagung Ayam?","Harga Sup Asparagus Jagung Ayam: Rp.80.000, 1/2 porsi: Rp.45.000","harga_sup"
"harga Sup Jagung Kepiting?","Harga Sup Jagung Kepiting: Rp.80.000, 1/2 porsi: Rp.45.000","harga_sup"
"harga Sup Jagung Ayam?","Harga Sup Jagung Ayam: Rp.75.000, 1/2 porsi: Rp.45.000","harga_sup"
"harga Sup Asam Pedas / Sze Cuan?","Harga Sup Asam Pedas / Sze Cuan: Rp.65.000","harga_sup"
"harga Sup Tahu Aneka Seafood?","Harga Sup Tahu Aneka Seafood: Rp.80.000","harga_sup"
"harga Sup Bibir Ikan?","Harga Sup Bibir Ikan: Rp.75.000","harga_sup"
"harga Sup Tahu dan Sapi Cincang?","Harga Sup Tahu dan Sapi Cincang: Rp.70.000","harga_sup"
"harga Sup Tom Yam?","Harga Sup Tom Yam: Rp.75.000","harga_sup"

"kuah ada menu apa saja?","Menu Kuah yang tersedia yaitu: Pangsit Kuah, Capcay Kuah, Kuah Bakso Sapi, Kuah Bakso Ikan, Kuah Tahu Seafood, Sup Sehat, Sup Hipio, Sup Ayam Tempo Dulu, Sup Sapi Tempo Dulu, Sup Iga Sapi, Sup Buntut Sapi.","menu"
"harga Pangsit Kuah?","Harga Pangsit Kuah: Rp.52.000","harga_kuah"
"harga Capcay Kuah?","Harga Capcay Kuah: Rp.65.000","harga_kuah"
"harga Kuah Bakso Sapi?","Harga Kuah Bakso Sapi: Rp.67.000","harga_kuah"
"harga Kuah Bakso Ikan?","Harga Kuah Bakso Ikan: Rp.65.000","harga_kuah"
"harga Kuah Tahu Seafood?","Harga Kuah Tahu Seafood: Rp.70.000","harga_kuah"
"harga Sup Sehat?","Harga Sup Sehat: Rp.67.000","harga_kuah"
"harga Sup Hipio?","Harga Sup Hipio: Rp.80.000","harga_kuah"
"harga Sup Ayam Tempo Dulu?","Harga Sup Ayam Tempo Dulu: Rp.60.000","harga_kuah"
"harga Sup Sapi Tempo Dulu?","Harga Sup Sapi Tempo Dulu: Rp.70.000","harga_kuah"
"harga Sup Iga Sapi?","Harga Sup Iga Sapi: Rp.75.000","harga_kuah"
"harga Sup Buntut Sapi?","Harga Sup Buntut Sapi: Rp.75.000","harga_kuah"

"sapi ada menu apa saja?","Menu Sapi yang tersedia yaitu: Sapi Ala Peking, Sapi Ala Royal's, Sapi Asam Manis, Sapi Asin Pedas, Sapi Coca Cola, Sapi Keispi Royal's, Sapi Keispi Cabe Kering, Sapi Krispi Saus Inggris, Sapi Krispi Saus Smoke, Sapi Krispi Wijen, Sapi Hotplat, Sapi Lada Hitam.","menu"
"harga Sapi Ala Peking?","Harga Sapi Ala Peking: Rp.70.000","harga_sapi"
"harga Sapi Ala Royal's?","Harga Sapi Ala Royal's: Rp.70.000","harga_sapi"
"harga Sapi Asam Manis?","Harga Sapi Asam Manis: Rp.70.000","harga_sapi"
"harga Sapi Asin Pedas?","Harga Sapi Asin Pedas: Rp.70.000","harga_sapi"
"harga Sapi Coca Cola?","Harga Sapi Coca Cola: Rp.70.000","harga_sapi"
"harga Sapi Keispi Royal's?","Harga Sapi Keispi Royal's: Rp.70.000","harga_sapi"
"harga Sapi Keispi Cabe Kering?","Harga Sapi Keispi Cabe Kering: Rp.70.000","harga_sapi"
"harga Sapi Krispi Saus Inggris?","Harga Sapi Krispi Saus Inggris: Rp.70.000","harga_sapi"
"harga Sapi Krispi Saus Smoke?","Harga Sapi Krispi Saus Smoke: Rp.70.000","harga_sapi"
"harga Sapi Krispi Wijen?","Harga Sapi Krispi Wijen: Rp.70.000","harga_sapi"
"harga Sapi Hotplat?","Harga Sapi Hotplat: Rp.70.000","harga_sapi"
"harga Sapi Lada Hitam?","Harga Sapi Lada Hitam: Rp.70.000","harga_sapi"

"daging ada menu apa saja?","Menu Daging yang tersedia yaitu: Iga Sapi Hotplat, Iga Sapi Goreng, Iga Asin Pedas, Iga Saus Madu, Iga Saus Taus, Iga Sapi Bawang Putih, Iga Saus Telur Asin, Sate Sapi, Dendeng Balado, Dendeng Cuka dan Dendeng Rusa","menu"
"harga Iga Sapi Hotplat?","Harga Iga Sapi Hotplat: Rp.127.000","harga_daging"
"harga Iga Sapi Goreng?","Harga Iga Sapi Goreng: Rp.127.000","harga_daging"
"harga Iga Asin Pedas?","Harga Iga Asin Pedas: Rp.77.000","harga_daging"
"harga Iga Saus Madu?","Harga Iga Saus Madu: Rp.77.000","harga_daging"
"harga Iga Saus Taus?","Harga Iga Saus Taus: Rp.77.000","harga_daging"
"harga Iga Sapi Bawang Putih?","Harga Iga Sapi Bawang Putih: Rp.77.000","harga_daging"
"harga Iga Saus Telur Asin?","Harga Iga Saus Telur Asin: Rp.77.000","harga_daging"
"harga Sate Sapi?","Harga Sate Sapi: Rp.68.000","harga_daging"
"harga Dendeng Balado?","Harga Dendeng Balado: Rp.60.000","harga_daging"
"harga Dendeng Cuka?","Harga Dendeng Cuka: Rp.60.000","harga_daging"
"harga Dendeng Rusa?","Harga Dendeng Rusa: Rp.70.000","harga_daging"

"ayam ada menu apa saja?","Menu Ayam yang tersedia yaitu: AYAM GORENG MENTEGA, AYAM ORENG WANGI, AYAM GORENG TEPUNG SAUS MAYONAISE, AYAM WOKU, AYAM ASAM MANIS, AYAM SAUS INGGRIS, AYAM SAUS LEMON, AYAM CABE KERING, AYAM CAH KACANG MENTE, AYAM SAUS RICA, SATE AYAM,AYAM GORENG ALA ROYAL'S, AYAM GORENG SAMBAL TERASI, AYAM GORENG KALASAN, AYAM BAKAR RICA, AYAM PANIKI, AYAM SAMBAL IJO, AYAM SUWIR, AYAM KRIUK SAMBAL CUKA / BALADO, SAYAP AYAM.","menu"
"harga AYAM GORENG MENTEGA?","Harga AYAM GORENG MENTEGA: Rp.50.000","harga_ayam"
"harga AYAM ORENG WANGI?","Harga AYAM ORENG WANGI: Rp.50.000","harga_ayam"
"harga AYAM GORENG TEPUNG SAUS MAYONAISE?","Harga AYAM GORENG TEPUNG SAUS MAYONAISE: Rp.50.000","harga_ayam"
"harga AYAM WOKU?","Harga AYAM WOKU: Rp.50.000","harga_ayam"
"harga AYAM ASAM MANIS?","Harga AYAM ASAM MANIS: Rp.50.000","harga_ayam"
"harga AYAM SAUS INGGRIS?","Harga AYAM SAUS INGGRIS: Rp.50.000","harga_ayam"
"harga AYAM SAUS LEMON?","Harga AYAM SAUS LEMON: Rp.50.000","harga_ayam"
"harga AYAM CABE KERING?","Harga AYAM CABE KERING: Rp.50.000","harga_ayam"
"harga AYAM CAH KACANG MENTE?","Harga AYAM CAH KACANG MENTE: Rp.50.000","harga_ayam"
"harga AYAM SAUS RICA?","Harga AYAM SAUS RICA: Rp.50.000","harga_ayam"
"harga SATE AYAM?","Harga SATE AYAM: Rp.50.000","harga_ayam"
"harga AYAM GORENG ALA ROYAL'S?","Harga AYAM GORENG ALA ROYAL'S: Rp.120.000","harga_ayam"
"harga AYAM GORENG SAMBAL TERASI?","Harga AYAM GORENG SAMBAL TERASI: Rp.56.000","harga_ayam"
"harga AYAM GORENG KALASAN?","Harga AYAM GORENG KALASAN: Rp.56.000","harga_ayam"
"harga AYAM BAKAR RICA?","Harga AYAM BAKAR RICA: Rp.56.000","harga_ayam"
"harga AYAM PANIKI?","Harga AYAM PANIKI: Rp.56.000","harga_ayam"
"harga AYAM SAMBAL IJO?","Harga AYAM SAMBAL IJO: Rp.56.000","harga_ayam"
"harga AYAM SUWIR?","Harga AYAM SUWIR: Rp.58.000","harga_ayam"
"harga AYAM KRIUK SAMBAL CUKA / BALADO?","Harga AYAM KRIUK SAMBAL CUKA / BALADO: Rp.58.000","harga_ayam"
"harga SAYAP AYAM?","Harga SAYAP AYAM: Rp.37.000","harga_ayam"

"bebek ada menu apa saja?","Menu Bebek yang tersedia yaitu: BEBEK GORENG ALA ROYAL,S, BEBEK GORENG SAMBAL TERASI, BEBEK SAMBAL IJO, BEBEK WOKU.","menu"
"harga BEBEK GORENG ALA ROYAL,S?","Harga BEBEK GORENG ALA ROYAL,S: Rp.140.000","harga_bebek"
"harga BEBEK GORENG SAMBAL TERASI?","Harga BEBEK GORENG SAMBAL TERASI: Rp.56.000","harga_bebek"
"harga BEBEK SAMBAL IJO?","Harga BEBEK SAMBAL IJO: Rp.56.000","harga_bebek"
"harga BEBEK WOKU?","Harga BEBEK WOKU: Rp.75.000","harga_bebek"

"burung dara ada menu apa saja?","Menu Burung dara yang tersedia yaitu: BURUNG DARA GORENG MENTEGA, BURUNG DARA GORENG KERING","menu"
"harga BURUNG DARA GORENG MENTEGA?","Harga BURUNG DARA GORENG MENTEGA: Rp.65.000/Ekor","harga_burung_dara"
"harga BURUNG DARA GORENG KERING?","Harga BURUNG DARA GORENG KERING: Rp.65.000/Ekor","harga_burung_dara"

"nasi ada menu apa saja?","Menu Nasi yang tersedia yaitu: NASI GORENG SPESIAL ALA ROYAL'S, NASI GORENG PERANCIS, NASI GORENG HONG KONG, NASI GORENG SEAFOOD, NASI GORENG AYAM, NASI GORENG IKAN ASIN, NASI GORENG JAWA (MERAH), NASI GORENG SAPI, NASI GORENG TELUR, NASI GORENG KEPITING, NASI CAP CAY, NASI CAP CAY SAPI.","menu"
"harga NASI GORENG SPESIAL ALA ROYAL'S?","Harga NASI GORENG SPESIAL ALA ROYAL'S: Rp.35.000","harga_nasi"
"harga NASI GORENG PERANCIS?","Harga NASI GORENG PERANCIS: Rp.45.000","harga_nasi"
"harga NASI GORENG HONG KONG?","Harga NASI GORENG HONG KONG: Rp.40.000 / + Meatball: Rp.47.000","harga_nasi"
"harga NASI GORENG SEAFOOD?","Harga NASI GORENG SEAFOOD: Rp.40.000","harga_nasi"
"harga NASI GORENG AYAM?","Harga NASI GORENG AYAM: Rp.35.000","harga_nasi"
"harga NASI GORENG IKAN ASIN?","Harga NASI GORENG IKAN ASIN: Rp.35.000","harga_nasi"
"harga NASI GORENG JAWA (MERAH)?","Harga NASI GORENG JAWA (MERAH): Rp.35.000","harga_nasi"
"harga NASI GORENG SAPI?","Harga NASI GORENG SAPI: Rp.45.000","harga_nasi"
"harga NASI GORENG TELUR?","Harga NASI GORENG TELUR: Rp.35.000","harga_nasi"
"harga NASI GORENG KEPITING?","Harga NASI GORENG KEPITING: Rp.63.000","harga_nasi"
"harga NASI CAP CAY?","Harga NASI CAP CAY: Rp.57.000","harga_nasi"
"harga NASI CAP CAY SAPI?","Harga NASI CAP CAY SAPI: Rp.72.000","harga_nasi"

"telur ada menu apa saja?","Menu Telur yang tersedia yaitu: TELUR MATA SAPI, TELUR DADAR, TELUR DADAR CAY PO, TELUR REBUS.","menu"
"harga TELUR MATA SAPI?","Harga TELUR MATA SAPI: Rp.10.000","harga_telur"
"harga TELUR DADAR?","Harga TELUR DADAR: Rp.15.000","harga_telur"
"harga TELUR DADAR CAY PO?","Harga TELUR DADAR CAY PO: Rp.32.000","harga_telur"
"harga TELUR REBUS?","Harga TELUR REBUS: Rp.10.000","harga_telur"

"bubur ada menu apa saja?","Menu Bubur yang tersedia yaitu: BUBUT POLOS, BUBUR AYAM, BUBUR SAPI, BUBUR IKAN, BUBUR MIX.","menu"
"harga BUBUT POLOS?","Harga BUBUT POLOS: Rp.23.000","harga_bubur"
"harga BUBUR AYAM?","Harga BUBUR AYAM: Rp.28.000","harga_bubur"
"harga BUBUR SAPI?","Harga BUBUR SAPI: Rp.40.000","harga_bubur"
"harga BUBUR IKAN?","Harga BUBUR IKAN: Rp.35.000","harga_bubur"
"harga BUBUR MIX?","Harga BUBUR MIX: Rp.50.000","harga_bubur"

"mie ada menu apa saja?","Menu Mie yang tersedia yaitu: MENU GORENG ALA ROYAL'S, MIE GORENG AYAM, MIE GORENG SEAFOOD, MIE GORENG CAKALANG FUFU, MIE GORENG ULANG TAHUN, MIE GORENG SAPI, MIE GORENG TELUR, MIE KUAH SEAFOOD, MIE KUAH AYAM, MISOA KUAH, MIE KUAH CAKALANG FUFU, MIE PANGSIT AYAM, TAMI CAP CAY, I FU MIE AYAM, I FU MIE SEAFOOD, MIE UDON GORENG, MIE UDON KUAH, MIE UDON KARI.","menu"
"harga MENU GORENG ALA ROYAL'S?","Harga MENU GORENG ALA ROYAL'S: Rp.33.000","harga_mie"
"harga MIE GORENG AYAM?","Harga MIE GORENG AYAM: Rp.33.000","harga_mie"
"harga MIE GORENG SEAFOOD?","Harga MIE GORENG SEAFOOD: Rp.40.000","harga_mie"
"harga MIE GORENG CAKALANG FUFU?","Harga MIE GORENG CAKALANG FUFU: Rp.36.000","harga_mie"
"harga MIE GORENG ULANG TAHUN?","Harga MIE GORENG ULANG TAHUN: Rp.38.000","harga_mie"
"harga MIE GORENG SAPI?","Harga MIE GORENG SAPI: Rp.45.000","harga_mie"
"harga MIE GORENG TELUR?","Harga MIE GORENG TELUR: Rp.32.000","harga_mie"
"harga MIE KUAH SEAFOOD?","Harga MIE KUAH SEAFOOD: Rp.45.000","harga_mie"
"harga MIE KUAH AYAM?","Harga MIE KUAH AYAM: Rp.33.000","harga_mie"
"harga MISOA KUAH?","Harga MISOA KUAH: Rp.73.000","harga_mie"
"harga MIE KUAH CAKALANG FUFU?","Harga MIE KUAH CAKALANG FUFU: Rp.33.000","harga_mie"
"harga MIE PANGSIT AYAM?","Harga MIE PANGSIT AYAM: Rp.37.000","harga_mie"
"harga TAMI CAP CAY?","Harga TAMI CAP CAY: Rp.55.000","harga_mie"
"harga I FU MIE AYAM?","Harga I FU MIE AYAM: Rp.45.000","harga_mie"
"harga I FU MIE SEAFOOD?","Harga I FU MIE SEAFOOD: Rp.50.000","harga_mie"
"harga MIE UDON GORENG?","Harga MIE UDON GORENG: Rp.65.000","harga_mie"
"harga MIE UDON KUAH?","Harga MIE UDON KUAH: Rp.75.000","harga_mie"
"harga MIE UDON KARI?","Harga MIE UDON KARI: Rp.75.000","harga_mie"

"bihun ada menu apa saja?","Menu Bihun yang tersedia yaitu: BIHUN SPESIAL ALA ROYAL'S, BIHUN GORENG AYAM, BIHUN GORENG SEAFOOD, BIHUN GORENG KEPITING, BIHUN KUAH SAPI, BIHUN KUAH AYAM, BIHUN KUAH SEAFOOD.","menu"
"harga BIHUN SPESIAL ALA ROYAL'S?","Harga BIHUN SPESIAL ALA ROYAL'S: Rp.45.000","harga_bihun"
"harga BIHUN GORENG AYAM?","Harga BIHUN GORENG AYAM: Rp.33.000","harga_bihun"
"harga BIHUN GORENG SEAFOOD?","Harga BIHUN GORENG SEAFOOD: Rp.40.000","harga_bihun"
"harga BIHUN GORENG KEPITING?","Harga BIHUN GORENG KEPITING: Rp.40.000","harga_bihun"
"harga BIHUN KUAH SAPI?","Harga BIHUN KUAH SAPI: Rp.42.000","harga_bihun"
"harga BIHUN KUAH AYAM?","Harga BIHUN KUAH AYAM: Rp.33.000","harga_bihun"
"harga BIHUN KUAH SEAFOOD?","Harga BIHUN KUAH SEAFOOD: Rp.40.000","harga_bihun"

"kwetiauw ada menu apa saja?","Menu Kwetiauw yang tersedia yaitu: KWETIAUW GORENG AYAM, KWETIAUW GORENG SEAFOOD, KWETIAUW SIRAM SAPI, KWETIAUW SIRAM SAPI TAUSI.","menu"
"harga KWETIAUW GORENG AYAM?","Harga KWETIAUW GORENG AYAM: Rp.38.000","harga_kwetiauw"
"harga KWETIAUW GORENG SEAFOOD?","Harga KWETIAUW GORENG SEAFOOD: Rp.43.000","harga_kwetiauw"
"harga KWETIAUW SIRAM SAPI?","Harga KWETIAUW SIRAM SAPI: Rp.48.000","harga_kwetiauw"
"harga KWETIAUW SIRAM SAPI TAUSI?","Harga KWETIAUW SIRAM SAPI TAUSI: Rp.53.000","harga_kwetiauw"

"ikan ada menu apa saja?","Menu Ikan yang tersedia yaitu: KAKAP, GURAMI, MUJAIR, MAS, BOBARA, KERAPU, DAGING IKAN GORENG FILLET, DAGING IKAN SAUS, DAGING IKAN MASAK WOKU, RAHANG TUNA, TELUR IKAN dan KEPALA IKAN.","menu"
"harga KAKAP?","Harga KAKAP: Rp.27.000/Ons","harga_ikan"
"harga GURAMI?","Harga GURAMI: Rp.25.000/Ons","harga_ikan"
"harga MUJAIR?","Harga MUJAIR: Rp.23.000/Ons","harga_ikan"
"harga MAS?","Harga MAS: Rp.25.000/Ons","harga_ikan"
"harga BOBARA?","Harga BOBARA: Rp.25.000/Ons","harga_ikan"
"harga KERAPU?","Harga KERAPU: Rp.27.000/Ons","harga_ikan"
"harga DAGING IKAN GORENG FILLET?","Harga DAGING IKAN GORENG FILLET: Rp.55.000","harga_ikan"
"harga DAGING IKAN SAUS?","Harga DAGING IKAN SAUS: Rp.55.000","harga_ikan"
"harga DAGING IKAN MASAK WOKU?","Harga DAGING IKAN MASAK WOKU: Rp.70.000","harga_ikan"
"harga RAHANG TUNA?","Harga RAHANG TUNA: Rp.16.000/Ons","harga_ikan"
"harga TELUR IKAN?","Harga TELUR IKAN: Rp.65.000","harga_ikan"
"harga KEPALA IKAN?","Harga KEPALA IKAN: Rp.55.000/Ons","harga_ikan"

"kepiting ada menu apa saja?","Menu Kepiting yang tersedia yaitu: KEPITING SOKA SAUS TELUR ASIN, KEPITING SOKA GORENG TEPUNG, KEPITING SOKA GORENG MAYONISE, KEPITING SOKA CABE GARAM, KEPITING KENARI, KEPITING BELANGA DAN LOBSTER","menu"
"harga KEPITING SOKA SAUS TELUR ASIN?","Harga KEPITING SOKA SAUS TELUR ASIN: Rp.70.000/Porsi","harga_kepiting"
"harga KEPITING SOKA GORENG TEPUNG?","Harga KEPITING SOKA GORENG TEPUNG: Rp.70.000/Porsi","harga_kepiting"
"harga KEPITING SOKA GORENG MAYONISE?","Harga KEPITING SOKA GORENG MAYONISE: Rp.70.000/Porsi","harga_kepiting"
"harga KEPITING SOKA CABE GARAM?","Harga KEPITING SOKA CABE GARAM: Rp.70.000/Porsi","harga_kepiting"
"harga KEPITING KENARI?","Harga KEPITING KENARI: Rp.60.000/Ons","harga_kepiting"
"harga KEPITING BELANGA?","Harga : Rp.60.000/Ons","harga_kepiting"
"harga LOBSTER?","Harga LOBSTER: Rp.75.000/Ons","harga_kepiting"

"udang ada menu apa saja?","Menu Udang yang tersedia yaitu: UDANG RONGGENG GORENG KERING, UDANG RONGGENG CABE GARAM, UDANG SPESIAL ALA ROYAL'S, UDANG TIM BAWANG PUTIH, UDANG TIM ALA THAILAND, UDANG ASAM MANIS, UDANG SAUS TELUR ASIN, UDANG GORENG TEPUNG, UDANG GORENG MAYONAISE, UDANG GORENG GANDUM, UDANG GORENG MENTEGA dan LUMPIA UDANG.","menu"
"harga UDANG RONGGENG GORENG KERING?","Harga UDANG RONGGENG GORENG KERING: Rp.57.000/Ons","harga_udang"
"harga UDANG RONGGENG CABE GARAM?","Harga UDANG RONGGENG CABE GARAM: Rp.57.000/Ons","harga_udang"
"harga UDANG SPESIAL ALA ROYAL'S?","Harga UDANG SPESIAL ALA ROYAL'S: Rp.65.000","harga_udang"
"harga UDANG TIM BAWANG PUTIH?","Harga UDANG TIM BAWANG PUTIH: Rp.70.000","harga_udang"
"harga UDANG TIM ALA THAILAND?","Harga UDANG TIM ALA THAILAND: Rp.70.000","harga_udang"
"harga UDANG ASAM MANIS?","Harga UDANG ASAM MANIS: Rp.65.000","harga_udang"
"harga UDANG SAUS TELUR ASIN?","Harga UDANG SAUS TELUR ASIN: Rp.70.000","harga_udang"
"harga UDANG GORENG TEPUNG?","Harga UDANG GORENG TEPUNG: Rp.63.000","harga_udang"
"harga UDANG GORENG MAYONAISE?","Harga UDANG GORENG MAYONAISE: Rp.65.000","harga_udang"
"harga UDANG GORENG GANDUM?","Harga UDANG GORENG GANDUM: Rp.65.000","harga_udang"
"harga UDANG GORENG MENTEGA?","Harga UDANG GORENG MENTEGA: Rp.65.000","harga_udang"
"harga LUMPIA UDANG?","Harga LUMPIA UDANG: Rp.65.000","harga_udang"

"cumi ada menu apa saja?","Menu Cumi yang tersedia yaitu: CUMI ALA ROYAL'S, CUMI SAUS INGGRIS, CUMI SAUS THAILAND, CUMI GORENG MENTEGA, CUMI SAUS TELUR ASIN, CUMI GORENG MAYONAISE, CUMI GORENG TEPUNG, CUMI WOKU, CUMI CABE GARAM, CUMI BAKAR MENTEGA, CUMI BAKAR KECAP, CUMI BAKAR RICA, CUMI ASAM MANIS, CUMI GORENG RICA dan CUMI SAUS PADANG.","menu"
"harga CUMI ALA ROYAL'S?","Harga CUMI ALA ROYAL'S: Rp.55.000","harga_cumi"
"harga CUMI SAUS INGGRIS?","Harga CUMI SAUS INGGRIS: Rp.50.000","harga_cumi"
"harga CUMI SAUS THAILAND?","Harga CUMI SAUS THAILAND: Rp.58.000","harga_cumi"
"harga CUMI GORENG MENTEGA?","Harga CUMI GORENG MENTEGA: Rp.50.000","harga_cumi"
"harga CUMI SAUS TELUR ASIN?","Harga CUMI SAUS TELUR ASIN: Rp.58.000","harga_cumi"
"harga CUMI GORENG MAYONAISE?","Harga CUMI GORENG MAYONAISE: Rp.58.000","harga_cumi"
"harga CUMI GORENG TEPUNG?","Harga CUMI GORENG TEPUNG: Rp.58.000","harga_cumi"
"harga CUMI WOKU?","Harga CUMI WOKU: Rp.50.000","harga_cumi"
"harga CUMI CABE GARAM?","Harga CUMI CABE GARAM: Rp.58.000","harga_cumi"
"harga CUMI BAKAR MENTEGA?","Harga CUMI BAKAR MENTEGA: Rp.58.000","harga_cumi"
"harga CUMI BAKAR KECAP?","Harga CUMI BAKAR KECAP: Rp.58.000","harga_cumi"
"harga CUMI BAKAR RICA?","Harga CUMI BAKAR RICA: Rp.58.000","harga_cumi"
"harga CUMI ASAM MANIS?","Harga CUMI ASAM MANIS: Rp.58.000","harga_cumi"
"harga CUMI GORENG RICA?","Harga CUMI GORENG RICA: Rp.50.000","harga_cumi"
"harga CUMI SAUS PADANG?","Harga CUMI SAUS PADANG: Rp.58.000","harga_cumi"

"makanan lainnya ada menu apa aja?","Menu Makanan lainnya yang tersedia yaitu: GOHU PEPAYA, JAGUNG KEJU, PISANG GORENG KIPAS, PISANG GORENG MULUT BEBEK, PISANG RAJA GORENG KEJU, KENTANG GORENG, LUMPIA MINI, PANGSIT GORENG dan ROTI BAKAR","menu"
"harga GOHU PEPAYA?","Harga GOHU PEPAYA: Rp.16.000","harga_makanan_lainnya"
"harga JAGUNG KEJU?","Harga JAGUNG KEJU: Rp.31.000","harga_makanan_lainnya"
"harga PISANG GORENG KIPAS?","Harga PISANG GORENG KIPAS: Rp.26.000","harga_makanan_lainnya"
"harga PISANG GORENG MULUT BEBEK?","Harga PISANG GORENG MULUT BEBEK: Rp.26.000","harga_makanan_lainnya"
"harga PISANG RAJA GORENG KEJU?","Harga PISANG RAJA GORENG KEJU: Rp.26.000","harga_makanan_lainnya"
"harga KENTANG GORENG?","Harga KENTANG GORENG: Rp.29.000","harga_makanan_lainnya"
"harga LUMPIA MINI?","Harga LUMPIA MINI: Rp.34.000","harga_makanan_lainnya"
"harga PANGSIT GORENG?","Harga PANGSIT GORENG: Rp.22.000","harga_makanan_lainnya"
"harga ROTI BAKAR?","Harga ROTI BAKAR: Rp.22.000","harga_makanan_lainnya"

"minuman ada menu apa aja?","Menu Minuman yang tersedia yaitu: MOCTAIL, SODA, FRAPPE dan TEA","menu"
"harga MOCTAIL?","Harga MOCTAIL: Rp.37.000","harga_minuman"
